open_time,open,high,low,close,volume,close_time,volume,num_trades,buy_vol,quote_vol,ignore,mavg_10,mavg_50
1500004800000,0.08000000,0.08000000,0.08000000,0.08000000,0.04300000,1500004859999,0.00344000,1,0.00000000,0.00000000,22435.18386441,0.08,0.08
1500004860000,0.08000000,0.08000000,0.08000000,0.08000000,0.00000000,1500004919999,0.00000000,0,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500004920000,0.08000000,0.08000000,0.08000000,0.08000000,0.30600000,1500004979999,0.02448000,2,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500004980000,0.08000000,0.08000000,0.08000000,0.08000000,0.21200000,1500005039999,0.01696000,1,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500005040000,0.08000000,0.08000000,0.08000000,0.08000000,0.16500000,1500005099999,0.01320000,2,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500005100000,0.08000000,0.08000000,0.08000000,0.08000000,0.83100000,1500005159999,0.06648000,3,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500005160000,0.08000000,0.08000000,0.08000000,0.08000000,0.49800000,1500005219999,0.03984000,2,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500005220000,0.08000000,0.08000000,0.08000000,0.08000000,1.99800000,1500005279999,0.15984000,3,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500005280000,0.08000000,0.08000000,0.08000000,0.08000000,0.00000000,1500005339999,0.00000000,0,0.00000000,0.00000000,22435.37386441,0.08,0.08
1500005340000,0.08000100,0.08000100,0.08000100,0.08000100,0.02000000,1500005399999,0.00160002,1,0.00000000,0.00000000,22447.69970492,0.08000021005616499,0.08000011893787541
1500005400000,0.08000100,0.08000100,0.08000100,0.08000100,0.12800000,1500005459999,0.01024012,1,0.00000000,0.00000000,22447.69970492,0.08000037143181465,0.08000021599215314
1500005460000,0.08100000,0.08100000,0.08100000,0.08100000,0.16800000,1500005519999,0.01360800,1,0.00000000,0.00000000,22447.69970492,0.08020009539021478,0.08010305291410819
1500005520000,0.08640000,0.08640000,0.08600000,0.08640000,3.53100000,1500005579999,0.30497320,6,3.26800000,0.28235520,22447.69970492,0.08141694602439081,0.08071199621399112
1500005580000,0.08640000,0.08640000,0.08640000,0.08640000,0.41200000,1500005639999,0.03559680,2,0.00000000,0.00000000,22463.04312579,0.08238103419117275,0.08123214895986425
1500005640000,0.08640000,0.08640000,0.08640000,0.08640000,0.44000000,1500005699999,0.03801600,1,0.00000000,0.00000000,22463.04312579,0.08314963876776273,0.08168127646061012
1500005700000,0.08528900,0.08528900,0.08528900,0.08528900,0.40000000,1500005759999,0.03411560,2,0.00000000,0.00000000,22463.04312579,0.08355495893142134,0.08198054368903787
1500005760000,0.08528900,0.08528900,0.08528900,0.08528900,0.00000000,1500005819999,0.00000000,0,0.00000000,0.00000000,22463.04312579,0.08388099671462441,0.08224348607371647
1500005820000,0.08528900,0.08546700,0.08528900,0.08546700,6.17900000,1500005879999,0.52700339,3,0.00000000,0.00000000,22465.04312579,0.08414410000619024,0.08247616326594236
1500005880000,0.08547900,0.08562000,0.08546700,0.08562000,33.90200000,1500005939999,2.90073594,8,0.00000000,0.00000000,22465.04312579,0.08439229101615385,0.08269735506176856
1500005940000,0.08512900,0.08512900,0.08512800,0.08512800,12.95000000,1500005999999,1.10240780,2,0.00000000,0.00000000,22466.79552579,0.08452870329152228,0.08287050803026931
1500006000000,0.08527400,0.08527400,0.08527400,0.08527400,0.27600000,1500006059999,0.02353562,1,0.00000000,0.00000000,22466.79552579,0.08466624546193814,0.08303635056424132
1500006060000,0.08527400,0.08600000,0.08527400,0.08600000,1.04000000,1500006119999,0.08919098,2,1.04000000,0.08919098,22466.24181764,0.0847780994421342,0.08318628408762783
1500006120000,0.08600000,0.08600000,0.08600000,0.08600000,0.00000000,1500006179999,0.00000000,0,0.00000000,0.00000000,22466.24181764,0.08500248413196297,0.08336971937350492
1500006180000,0.08527400,0.08600000,0.08527400,0.08600000,1.53100000,1500006239999,0.13158033,3,1.51100000,0.12986033,22466.24181764,0.08505225370413397,0.08349072225695883
1500006240000,0.08600000,0.08600000,0.08600000,0.08600000,2.72900000,1500006299999,0.23469400,4,0.00000000,0.00000000,22466.24181764,0.08522572058863503,0.08364638150719257
1500006300000,0.08525000,0.08525000,0.08525000,0.08525000,0.08000000,1500006359999,0.00682000,1,0.00000000,0.00000000,22476.45181765,0.08523015908906365,0.08374364032303
1500006360000,0.08526500,0.08543200,0.08526500,0.08543200,1.36300000,1500006419999,0.11627788,3,0.00000000,0.00000000,22471.90751765,0.08523652202311059,0.08383397397142738
1500006420000,0.08543200,0.08543200,0.08543200,0.08543200,0.18700000,1500006479999,0.01597578,1,0.18700000,0.01597578,22468.20751765,0.08527219292557704,0.08392698462221788
1500006480000,0.08543200,0.08543200,0.08543200,0.08543200,0.00000000,1500006539999,0.00000000,0,0.00000000,0.00000000,22468.20237765,0.08530133528787878,0.08401294944986303
1500006540000,0.08568500,0.08581100,0.08568500,0.08581100,0.40500000,1500006599999,0.03474198,3,0.00000000,0.00000000,22462.78067765,0.08537126238747872,0.0841067753577649
1500006600000,0.08581100,0.08585100,0.08581100,0.08585100,1.06100000,1500006659999,0.09105747,2,0.00000000,0.00000000,22462.78067765,0.0854513739160453,0.08420081751170617
1500006660000,0.08585100,0.08585100,0.08585100,0.08585100,8.64000000,1500006719999,0.74175264,1,0.00000000,0.00000000,22466.48067765,0.08552415156060758,0.08429044649820587
1500006720000,0.08600000,0.08600000,0.08600000,0.08600000,8.24200000,1500006779999,0.70881200,3,8.24200000,0.70881200,22462.72923765,0.08561078473189601,0.08438191906151107
1500006780000,0.08600000,0.08600000,0.08600000,0.08600000,0.00000000,1500006839999,0.00000000,0,0.00000000,0.00000000,22462.72923765,0.08568162826911621,0.08446727737332299
1500006840000,0.08600000,0.08600000,0.08600000,0.08600000,0.00000000,1500006899999,0.00000000,0,0.00000000,0.00000000,22462.63963765,0.08573956564466137,0.08454705286410039
1500006900000,0.08600000,0.08600000,0.08600000,0.08600000,0.00000000,1500006959999,0.00000000,0,0.00000000,0.00000000,22468.52963765,0.0857869518795519,0.08462171803857826
1500006960000,0.08600000,0.08600000,0.08600000,0.08600000,0.00000000,1500007019999,0.00000000,0,0.00000000,0.00000000,22468.52963765,0.08582571101238838,0.0846916944322537
1500007020000,0.08618000,0.08618000,0.08618000,0.08618000,17.51000000,1500007079999,1.50901180,3,0.00000000,0.00000000,22486.54828873,0.08589015863323368,0.08476639365230203
1500007080000,0.08618000,0.08618000,0.08618000,0.08618000,0.70000000,1500007139999,0.06032600,2,0.00000000,0.00000000,22486.54828873,0.08594287810687255,0.08483657343032405
